epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1177.71,1.95736,1.86368,1.1824,0.28198,0.25183,0.15167,0.05708,1.29442,3.95505,0.83478,0.000199949,0.000199949,0.00820046
2,2231.84,1.96958,1.63341,1.18803,0.15786,0.2464,0.11446,0.04272,1.30766,7.7971,0.85955,0.000399943,0.000399943,0.00640045
3,3232.55,1.91678,1.58276,1.15501,0.34031,0.41176,0.24296,0.09819,1.22812,8.88188,0.81262,0.000599913,0.000599913,0.00460042
4,4216.9,1.89453,1.53297,1.15386,0.27985,0.35705,0.19197,0.07343,1.26502,6.21367,0.82255,0.000799839,0.000799839,0.00280035
5,5193.89,1.87286,1.47876,1.13726,0.35413,0.4875,0.27801,0.11429,1.19838,7.97248,0.80021,0.000999705,0.000999705,0.00100021
6,6167.94,1.85904,1.4432,1.13086,0.34009,0.41093,0.24143,0.09881,1.23569,7.28185,0.81131,0.000999618,0.000999618,0.000999618
7,7142.09,1.82512,1.37644,1.11995,0.30344,0.43383,0.25335,0.10134,1.23461,7.41467,0.80719,0.00099945,0.00099945,0.00099945
8,8116.82,1.80719,1.30236,1.11745,0.38842,0.41204,0.29399,0.11596,1.23318,8.54365,0.81387,0.000999252,0.000999252,0.000999252
9,9051.86,1.79278,1.25101,1.10837,0.37498,0.43992,0.29254,0.10402,1.25213,9.1989,0.82006,0.000999023,0.000999023,0.000999023
10,10027.2,1.7804,1.22653,1.10684,0.334,0.46183,0.26483,0.11447,1.16539,7.91544,0.77959,0.000998764,0.000998764,0.000998764
11,11001.4,1.75086,1.18869,1.08878,0.39065,0.43184,0.27863,0.10189,1.27217,9.0899,0.84038,0.000998474,0.000998474,0.000998474
12,11974,1.75668,1.15303,1.09747,0.44855,0.48528,0.34614,0.13913,1.21954,8.84408,0.79004,0.000998154,0.000998154,0.000998154
13,12950.3,1.73152,1.13711,1.09187,0.46566,0.50542,0.37884,0.15245,1.23723,8.64314,0.80447,0.000997803,0.000997803,0.000997803
14,13930.2,1.70485,1.11906,1.0779,0.3742,0.53264,0.34497,0.14554,1.17891,9.20011,0.78083,0.000997422,0.000997422,0.000997422
15,14905,1.71359,1.10251,1.07845,0.35373,0.42,0.25555,0.0994,1.20446,8.78642,0.79593,0.000997011,0.000997011,0.000997011
16,15876.2,1.71333,1.11039,1.07449,0.3557,0.44645,0.25655,0.10348,1.21409,9.33584,0.79358,0.000996569,0.000996569,0.000996569
17,16849.9,1.70669,1.07137,1.0694,0.41199,0.49237,0.33641,0.14714,1.19548,8.81685,0.77988,0.000996097,0.000996097,0.000996097
18,17820.1,1.68556,1.07474,1.07959,0.38043,0.43561,0.26232,0.10879,1.18718,7.97666,0.78203,0.000995594,0.000995594,0.000995594
19,18784.8,1.68119,1.05678,1.07265,0.42386,0.50454,0.34861,0.15627,1.14863,9.6746,0.76414,0.000995062,0.000995062,0.000995062
20,19752.2,1.66651,1.05163,1.06118,0.41972,0.50066,0.3099,0.14029,1.14592,9.26224,0.75895,0.000994499,0.000994499,0.000994499
21,20730.3,1.67398,1.0316,1.0677,0.40582,0.48739,0.29789,0.15451,1.06253,8.13552,0.72964,0.000993906,0.000993906,0.000993906
22,21701.3,1.64095,0.99793,1.05835,0.45331,0.50332,0.35193,0.15712,1.12447,9.12099,0.74954,0.000993282,0.000993282,0.000993282
23,22669.9,1.62505,0.98591,1.05387,0.4471,0.52565,0.38143,0.19521,1.05281,9.18407,0.72748,0.000992629,0.000992629,0.000992629
24,23647.1,1.62606,0.98964,1.05103,0.46069,0.5598,0.44312,0.2394,1.03386,8.87633,0.71368,0.000991946,0.000991946,0.000991946
25,24624.8,1.61714,0.96017,1.05395,0.45131,0.49248,0.33162,0.16033,1.08523,8.99288,0.73102,0.000991232,0.000991232,0.000991232
26,25602.8,1.61386,0.98883,1.03789,0.41084,0.51461,0.37268,0.19513,1.04257,9.57445,0.72086,0.000990489,0.000990489,0.000990489
27,26578.6,1.59034,0.9468,1.03418,0.43506,0.53076,0.37197,0.19549,1.0625,9.83605,0.726,0.000989715,0.000989715,0.000989715
28,27552.9,1.57149,0.91968,1.02502,0.45444,0.5187,0.39132,0.20501,1.06128,9.03586,0.725,0.000988912,0.000988912,0.000988912
29,28525.5,1.55906,0.9196,1.02859,0.48005,0.49978,0.40936,0.20573,1.05505,9.38369,0.72192,0.000988079,0.000988079,0.000988079
30,29499.2,1.56486,0.90994,1.02108,0.49086,0.52545,0.46418,0.25267,1.0352,9.17949,0.71413,0.000987216,0.000987216,0.000987216
31,30473.5,1.55402,0.90459,1.02124,0.52695,0.53065,0.47507,0.25926,1.03171,9.29194,0.71355,0.000986323,0.000986323,0.000986323
32,31454.4,1.56709,0.90216,1.02475,0.49964,0.54216,0.45984,0.25598,1.00949,9.23226,0.71125,0.000985401,0.000985401,0.000985401
33,32424.6,1.55537,0.8912,1.01968,0.50765,0.52954,0.46327,0.24312,1.03591,8.64515,0.71974,0.000984449,0.000984449,0.000984449
34,33395.2,1.52631,0.86533,1.01359,0.50341,0.52346,0.46317,0.24762,1.02657,8.79208,0.71456,0.000983467,0.000983467,0.000983467
35,34370.8,1.53494,0.8653,1.00989,0.49365,0.53762,0.47532,0.25684,1.01563,8.86298,0.71016,0.000982456,0.000982456,0.000982456
36,35347.1,1.53686,0.87599,1.0128,0.49227,0.53397,0.46116,0.24916,1.00659,8.6808,0.7071,0.000981415,0.000981415,0.000981415
37,36323.2,1.51517,0.85741,1.00619,0.47146,0.54133,0.45264,0.24476,1.02573,9.24412,0.71482,0.000980345,0.000980345,0.000980345
38,37298.3,1.53679,0.88709,1.01315,0.46263,0.54902,0.44798,0.23968,1.03707,9.68936,0.72153,0.000979246,0.000979246,0.000979246
39,38273.4,1.51338,0.84101,1.01972,0.49458,0.54233,0.46674,0.24847,1.03921,9.48229,0.72436,0.000978118,0.000978118,0.000978118
40,39248.1,1.51098,0.83907,1.01054,0.49517,0.54603,0.46731,0.25102,1.03947,9.71704,0.72278,0.00097696,0.00097696,0.00097696
41,40223.1,1.48605,0.83162,1.00108,0.49707,0.54116,0.4634,0.24665,1.05071,10.0251,0.72641,0.000975773,0.000975773,0.000975773
42,41191,1.49221,0.83731,1.00104,0.49941,0.55355,0.47525,0.25661,1.04334,10.1842,0.72192,0.000974557,0.000974557,0.000974557
43,42165,1.50307,0.84692,1.01104,0.50171,0.55632,0.47383,0.25033,1.05587,10.1657,0.72316,0.000973312,0.000973312,0.000973312
44,43138.7,1.48981,0.8324,0.99994,0.50776,0.54967,0.47502,0.25395,1.04608,10.0032,0.72027,0.000972039,0.000972039,0.000972039
45,44114.1,1.48874,0.8135,1.00125,0.50435,0.55832,0.47958,0.25475,1.04224,10.0892,0.7192,0.000970736,0.000970736,0.000970736
46,45087.6,1.49495,0.83033,1.00095,0.50554,0.56285,0.47554,0.24978,1.04286,10.1479,0.71959,0.000969405,0.000969405,0.000969405
47,46063.2,1.47063,0.79685,0.99333,0.50094,0.56529,0.47033,0.24654,1.04062,10.1175,0.71882,0.000968045,0.000968045,0.000968045
48,47039.9,1.46703,0.79679,0.9885,0.50115,0.55886,0.46158,0.24067,1.04229,9.95465,0.72026,0.000966656,0.000966656,0.000966656
49,48021.2,1.4693,0.79937,0.98957,0.51126,0.55222,0.46424,0.2439,1.04082,9.84043,0.72021,0.000965239,0.000965239,0.000965239
50,49005.2,1.43775,0.78093,0.98369,0.51665,0.54853,0.46838,0.24665,1.04437,9.73438,0.72129,0.000963794,0.000963794,0.000963794
51,49984,1.44342,0.79925,0.98571,0.51515,0.55079,0.46827,0.24733,1.04234,9.78264,0.72153,0.00096232,0.00096232,0.00096232
52,50968.7,1.46065,0.79401,0.98755,0.52193,0.54806,0.473,0.25124,1.03869,9.86568,0.72019,0.000960819,0.000960819,0.000960819
53,51938.8,1.45707,0.78109,0.99272,0.52528,0.55245,0.48127,0.25704,1.03269,9.98648,0.71705,0.000959289,0.000959289,0.000959289
54,52914.5,1.45897,0.77891,0.98419,0.53098,0.55717,0.48621,0.25814,1.03284,10.0722,0.71694,0.000957731,0.000957731,0.000957731
55,53895.2,1.45338,0.78212,0.99005,0.53307,0.56237,0.49239,0.26185,1.02799,10.0763,0.71485,0.000956145,0.000956145,0.000956145
56,54872.7,1.43969,0.77164,0.98043,0.53777,0.55975,0.49277,0.26202,1.02644,10.1116,0.71341,0.000954531,0.000954531,0.000954531
57,55848.4,1.43141,0.77929,0.98419,0.54124,0.56318,0.49601,0.26432,1.02315,10.1036,0.71205,0.000952889,0.000952889,0.000952889
58,56818.4,1.44787,0.77843,0.99306,0.54115,0.56617,0.49762,0.26534,1.02029,10.0996,0.71116,0.00095122,0.00095122,0.00095122
59,57795.8,1.44403,0.76792,0.98057,0.54232,0.56384,0.49871,0.26611,1.01893,10.0349,0.71046,0.000949524,0.000949524,0.000949524
60,58766.2,1.43254,0.75435,0.98382,0.54494,0.56262,0.49857,0.26682,1.01817,10.0443,0.71043,0.0009478,0.0009478,0.0009478
61,59741.7,1.43148,0.75594,0.98134,0.54537,0.56303,0.49748,0.26555,1.01881,10.0025,0.71081,0.000946048,0.000946048,0.000946048
62,60710.4,1.42758,0.74839,0.98294,0.5473,0.56185,0.49822,0.26509,1.01849,9.97017,0.71082,0.00094427,0.00094427,0.00094427
63,61680.3,1.41301,0.75139,0.97615,0.54747,0.56185,0.49794,0.2655,1.02125,9.98106,0.71182,0.000942464,0.000942464,0.000942464
64,62650.4,1.4231,0.75705,0.98713,0.54481,0.56473,0.4984,0.26471,1.02247,9.94954,0.71233,0.000940631,0.000940631,0.000940631
65,63625.9,1.39766,0.74306,0.97023,0.54321,0.56428,0.49883,0.26488,1.0221,9.94901,0.71225,0.000938772,0.000938772,0.000938772
66,64601,1.40829,0.74107,0.97483,0.54024,0.56417,0.49824,0.26489,1.02253,9.95704,0.71248,0.000936886,0.000936886,0.000936886
67,65572.2,1.40791,0.74797,0.97038,0.54105,0.56388,0.49864,0.2644,1.02335,9.89646,0.71315,0.000934973,0.000934973,0.000934973
68,66541.5,1.40236,0.72649,0.97338,0.54115,0.56329,0.49859,0.26428,1.02415,9.86791,0.71345,0.000933033,0.000933033,0.000933033
69,67517.2,1.41217,0.74449,0.97887,0.54075,0.5658,0.49947,0.26539,1.02535,9.84705,0.71403,0.000931067,0.000931067,0.000931067
70,68491.9,1.41486,0.73252,0.97781,0.54705,0.56085,0.50012,0.2657,1.02619,9.78733,0.71466,0.000929075,0.000929075,0.000929075
71,69467.1,1.39622,0.74071,0.97954,0.5476,0.55875,0.49998,0.26526,1.02696,9.71826,0.71496,0.000927057,0.000927057,0.000927057
72,70443.9,1.38818,0.72549,0.96618,0.54756,0.55875,0.50081,0.26615,1.02702,9.64454,0.71498,0.000925013,0.000925013,0.000925013
73,71414.5,1.39385,0.7238,0.97178,0.54535,0.56085,0.49977,0.26536,1.02908,9.60434,0.71558,0.000922942,0.000922942,0.000922942
74,72387.3,1.38961,0.71161,0.97518,0.54983,0.55809,0.50028,0.26486,1.03052,9.53964,0.716,0.000920846,0.000920846,0.000920846
75,73364.7,1.39516,0.72528,0.97157,0.55197,0.5541,0.50087,0.26506,1.03177,9.49394,0.71617,0.000918725,0.000918725,0.000918725
76,74340.4,1.38454,0.73123,0.96461,0.54995,0.55776,0.50178,0.26519,1.03228,9.44143,0.7164,0.000916577,0.000916577,0.000916577
