epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2595.57,1.92582,1.50003,1.19809,0.43685,0.39146,0.31056,0.12188,1.26259,16.0037,0.80418,0.000199899,0.000199899,0.00820091
2,5367.09,1.90309,1.38892,1.18643,0.29303,0.41604,0.23878,0.10465,1.20623,37.963,0.79695,0.000399893,0.000399893,0.00640091
3,8185.37,1.88717,1.36562,1.1743,0.45461,0.45065,0.31899,0.10883,1.33865,25.2154,0.85705,0.000599862,0.000599862,0.00460088
4,10959.1,1.87572,1.31966,1.17993,0.45388,0.38714,0.29327,0.12585,1.25404,25.3985,0.80475,0.000799789,0.000799789,0.0028008
5,13759.1,1.83306,1.2505,1.15878,0.27411,0.40208,0.19632,0.08357,1.23552,25.4829,0.82032,0.000999654,0.000999654,0.00100067
6,16552,1.82184,1.23794,1.1534,0.454,0.40407,0.35058,0.11323,1.44121,19.3366,0.89917,0.000999618,0.000999618,0.000999618
7,19345.8,1.78842,1.21003,1.13899,0.36852,0.41901,0.33963,0.11947,1.31652,31.9834,0.84426,0.00099945,0.00099945,0.00099945
8,22117,1.76221,1.13255,1.12717,0.325,0.41237,0.22445,0.10679,1.15828,31.6466,0.76825,0.000999252,0.000999252,0.000999252
9,24913.8,1.74222,1.11436,1.12195,0.38589,0.45838,0.35528,0.16745,1.16397,30.6314,0.77892,0.000999023,0.000999023,0.000999023
10,27697.6,1.72016,1.07109,1.11825,0.4478,0.48517,0.39078,0.19412,1.14914,31.0648,0.76244,0.000998764,0.000998764,0.000998764
11,30487.6,1.69493,1.03607,1.10232,0.44678,0.56484,0.39103,0.17659,1.15201,47.6101,0.7671,0.000998474,0.000998474,0.000998474
12,33292.5,1.67559,1.01032,1.10508,0.47418,0.50468,0.38351,0.1968,1.08714,30.7106,0.73828,0.000998154,0.000998154,0.000998154
13,36086.7,1.67493,0.99916,1.0966,0.48351,0.48506,0.43797,0.20825,1.13976,30.4972,0.75618,0.000997803,0.000997803,0.000997803
14,38885.8,1.65238,0.98336,1.08401,0.41766,0.50033,0.34425,0.17643,1.14422,32.257,0.7591,0.000997422,0.000997422,0.000997422
15,41662.3,1.63629,0.94669,1.08682,0.46922,0.48543,0.42296,0.22157,1.10243,36.0419,0.74254,0.000997011,0.000997011,0.000997011
16,44462.3,1.63079,0.96189,1.08667,0.45215,0.5229,0.41564,0.19737,1.16448,36.4999,0.77256,0.000996569,0.000996569,0.000996569
17,47265.5,1.63094,0.93928,1.07453,0.54431,0.51815,0.48364,0.23965,1.14254,25.4167,0.75354,0.000996097,0.000996097,0.000996097
18,50045.9,1.61278,0.9315,1.07612,0.49853,0.55012,0.44221,0.23111,1.08801,38.6767,0.73548,0.000995594,0.000995594,0.000995594
19,52841.3,1.6059,0.91602,1.06942,0.48865,0.55001,0.49478,0.25835,1.08794,31.1463,0.7335,0.000995062,0.000995062,0.000995062
20,55671,1.58779,0.90636,1.06889,0.46699,0.50929,0.43051,0.23031,1.11755,32.0556,0.73534,0.000994499,0.000994499,0.000994499
21,58502.4,1.58646,0.88504,1.0633,0.44664,0.53884,0.40504,0.20137,1.09764,34.1343,0.74185,0.000993906,0.000993906,0.000993906
22,61321.3,1.57038,0.88433,1.07021,0.49152,0.527,0.43967,0.22896,1.07298,29.852,0.72973,0.000993282,0.000993282,0.000993282
23,64145.2,1.5576,0.85784,1.05195,0.48322,0.56683,0.43858,0.2326,1.09422,34.0077,0.73787,0.000992629,0.000992629,0.000992629
24,66972.1,1.55446,0.8606,1.05546,0.46034,0.53131,0.398,0.20886,1.06503,30.891,0.73542,0.000991946,0.000991946,0.000991946
