epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2802.74,1.95683,2.12262,1.1393,0.23026,0.35849,0.1627,0.07432,1.19722,53.9859,0.73726,0.000199595,0.000199595,0.00820364
2,5662.73,1.82477,1.30664,1.1163,0.49232,0.50564,0.37306,0.15038,1.29769,53.5255,0.78859,0.000399589,0.000399589,0.00640364
3,8513.57,1.81237,1.21753,1.11674,0.34755,0.3846,0.25893,0.11886,1.22091,47.236,0.74674,0.000599559,0.000599559,0.00460361
4,11273.2,1.76295,1.15274,1.10004,0.47764,0.394,0.30137,0.12286,1.34384,48.1919,0.79429,0.000799485,0.000799485,0.00280353
5,14052.3,1.77726,1.16028,1.10771,0.52076,0.49878,0.40623,0.17521,1.28029,98.0294,0.7641,0.000999351,0.000999351,0.0010034
6,16846.4,1.76426,1.13861,1.10327,0.53671,0.50609,0.45904,0.22611,1.18062,35.093,0.75233,0.000999618,0.000999618,0.000999618
7,19631.3,1.73628,1.08578,1.09337,0.51275,0.4584,0.37918,0.13066,1.51803,30.9797,0.88522,0.00099945,0.00099945,0.00099945
8,22384.9,1.72037,1.05282,1.09191,0.43835,0.45121,0.34445,0.15905,1.26188,42.6421,0.78682,0.000999252,0.000999252,0.000999252
9,25160.1,1.69427,1.01848,1.07804,0.56672,0.42519,0.45401,0.22914,1.1658,30.7947,0.74977,0.000999023,0.000999023,0.000999023
10,27917.9,1.6764,0.99764,1.0772,0.52142,0.42445,0.38459,0.18448,1.24674,27.3846,0.77603,0.000998764,0.000998764,0.000998764
11,30716.1,1.66242,0.97661,1.07399,0.58531,0.48263,0.45499,0.2388,1.16693,24.4863,0.74713,0.000998474,0.000998474,0.000998474
12,33544.5,1.64887,0.95697,1.07236,0.51183,0.52832,0.41462,0.1821,1.28428,37.754,0.78847,0.000998154,0.000998154,0.000998154
13,36397.8,1.64122,0.95008,1.07157,0.37085,0.47401,0.29903,0.1478,1.17871,49.8475,0.76307,0.000997803,0.000997803,0.000997803
14,39242.2,1.6264,0.93015,1.06293,0.40534,0.47577,0.30692,0.14739,1.19449,61.9967,0.77686,0.000997422,0.000997422,0.000997422
15,42082.1,1.62715,0.91813,1.0653,0.40249,0.42155,0.28254,0.10809,1.4234,67.7538,0.83395,0.000997011,0.000997011,0.000997011
16,44921.3,1.61591,0.91287,1.05977,0.40484,0.51283,0.32666,0.16266,1.20904,68.985,0.77041,0.000996569,0.000996569,0.000996569
17,47755.2,1.59806,0.88372,1.05564,0.56259,0.57193,0.53195,0.27292,1.16875,51.3086,0.77375,0.000996097,0.000996097,0.000996097
18,50583.1,1.59339,0.88812,1.05368,0.54097,0.54935,0.47593,0.24256,1.16633,36.9741,0.74219,0.000995594,0.000995594,0.000995594
19,53418.5,1.57882,0.85996,1.05374,0.54905,0.53054,0.51389,0.2734,1.16165,40.2981,0.73386,0.000995062,0.000995062,0.000995062
20,56234.4,1.57103,0.85747,1.0453,0.54748,0.55753,0.45627,0.22623,1.22137,42.0011,0.76874,0.000994499,0.000994499,0.000994499
21,59069.8,1.56712,0.84844,1.04241,0.42062,0.50034,0.38012,0.20587,1.14682,54.8575,0.73584,0.000993906,0.000993906,0.000993906
22,61918.2,1.55732,0.84901,1.0451,0.53057,0.56124,0.45423,0.24085,1.14646,53.8159,0.7343,0.000993282,0.000993282,0.000993282
23,64755.3,1.55283,0.83869,1.03499,0.53369,0.5787,0.51028,0.27892,1.13445,58.4694,0.74595,0.000992629,0.000992629,0.000992629
24,67583.3,1.55117,0.83209,1.04485,0.50552,0.56019,0.50062,0.27605,1.12776,56.7587,0.71616,0.000991946,0.000991946,0.000991946
25,70407.8,1.53668,0.82127,1.03581,0.52907,0.5551,0.48309,0.27156,1.11146,50.6452,0.72276,0.000991232,0.000991232,0.000991232
26,73234.8,1.52294,0.81797,1.03013,0.46246,0.51306,0.4196,0.23361,1.11575,60.518,0.73651,0.000990489,0.000990489,0.000990489
27,76079.1,1.52958,0.81091,1.03646,0.52452,0.53441,0.48825,0.23699,1.24041,44.41,0.78393,0.000989715,0.000989715,0.000989715
28,78913.8,1.52192,0.79506,1.02774,0.56466,0.53408,0.47744,0.25842,1.13814,42.6909,0.74646,0.000988912,0.000988912,0.000988912
29,81736.8,1.5222,0.80188,1.03699,0.52022,0.50376,0.40504,0.21973,1.13933,51.4568,0.73457,0.000988079,0.000988079,0.000988079
30,84564,1.50454,0.79816,1.02442,0.47374,0.49148,0.38022,0.20614,1.1756,47.9333,0.74796,0.000987216,0.000987216,0.000987216
31,87428.3,1.50041,0.78493,1.02456,0.56159,0.53136,0.47725,0.26433,1.15593,51.3797,0.74055,0.000986323,0.000986323,0.000986323
32,90284.5,1.49488,0.77683,1.02062,0.47162,0.50166,0.41827,0.23423,1.16777,46.4336,0.75216,0.000985401,0.000985401,0.000985401
