epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2859.25,1.90188,1.87586,1.15638,0.36355,0.3659,0.31909,0.14367,1.25496,52.9637,0.73576,0.000199696,0.000199696,0.00820274
2,5697.98,1.79233,1.18812,1.13076,0.36148,0.46404,0.29123,0.12741,1.30766,58.5675,0.78019,0.00039969,0.00039969,0.00640273
3,8520.5,1.79014,1.14129,1.12521,0.3773,0.53839,0.33534,0.13783,1.30896,53.1151,0.79478,0.000599659,0.000599659,0.0046027
4,11348.8,1.79022,1.17471,1.12429,0.33468,0.369,0.2648,0.13934,1.26159,47.8472,0.84394,0.000799586,0.000799586,0.00280263
5,14176.5,1.75633,1.12499,1.12354,0.37213,0.46902,0.34091,0.13507,1.36612,60.1899,0.84527,0.000999452,0.000999452,0.00100249
6,17025.9,1.74223,1.06373,1.11131,0.42087,0.50952,0.34722,0.17409,1.24022,47.6528,0.79313,0.000999618,0.000999618,0.000999618
7,19888.1,1.7054,1.03016,1.09904,0.28742,0.4262,0.19818,0.06973,1.44743,70.8161,0.86709,0.00099945,0.00099945,0.00099945
8,22731.3,1.67279,0.98126,1.0896,0.2673,0.3395,0.19748,0.09334,1.30837,49.5064,0.84344,0.000999252,0.000999252,0.000999252
9,25553,1.66848,0.96964,1.08571,0.41039,0.48794,0.30363,0.12708,1.31655,43.1521,0.83794,0.000999023,0.000999023,0.000999023
10,28371.1,1.65174,0.93907,1.08229,0.42978,0.49502,0.3208,0.15089,1.26574,34.495,0.81273,0.000998764,0.000998764,0.000998764
11,31211,1.61425,0.90703,1.06942,0.38501,0.49834,0.29773,0.15097,1.24967,42.6214,0.80341,0.000998474,0.000998474,0.000998474
12,34038.9,1.6206,0.89769,1.07092,0.4462,0.50876,0.37168,0.1881,1.22552,40.5865,0.79151,0.000998154,0.000998154,0.000998154
13,36880.1,1.5945,0.87805,1.06133,0.43884,0.51239,0.41883,0.22465,1.17246,40.0486,0.77204,0.000997803,0.000997803,0.000997803
14,39723.6,1.58947,0.87023,1.05611,0.45941,0.48396,0.33591,0.15596,1.25027,35.1107,0.80364,0.000997422,0.000997422,0.000997422
15,42554.7,1.58692,0.86272,1.05603,0.44174,0.49203,0.35616,0.1607,1.20961,45.3017,0.79031,0.000997011,0.000997011,0.000997011
16,45396,1.57446,0.85598,1.05607,0.37232,0.48915,0.29877,0.14466,1.22413,48.9868,0.80589,0.000996569,0.000996569,0.000996569
17,48229.2,1.54974,0.82824,1.04504,0.60739,0.56329,0.51297,0.23101,1.22833,36.7006,0.78058,0.000996097,0.000996097,0.000996097
18,51054.8,1.55333,0.82946,1.04863,0.43256,0.48505,0.32049,0.15011,1.29011,43.4256,0.80065,0.000995594,0.000995594,0.000995594
19,53811.1,1.54279,0.80268,1.04831,0.54012,0.52711,0.45105,0.20861,1.25557,31.0131,0.79001,0.000995062,0.000995062,0.000995062
20,56586.4,1.53729,0.79986,1.04446,0.49724,0.55997,0.41499,0.21188,1.19243,46.3784,0.76819,0.000994499,0.000994499,0.000994499
21,59320.3,1.5384,0.8023,1.0438,0.52643,0.52629,0.44091,0.20826,1.23176,35.5952,0.78076,0.000993906,0.000993906,0.000993906
