epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1426.43,1.98432,1.9138,1.18958,0.20272,0.22605,0.1102,0.04183,1.34231,4.69063,0.87323,0.000199949,0.000199949,0.00820046
2,2750.18,1.94597,1.65686,1.16615,0.26414,0.24243,0.16069,0.06443,1.29192,9.00353,0.84143,0.000399943,0.000399943,0.00640045
3,4049.4,1.91328,1.57373,1.15623,0.24463,0.31522,0.15424,0.06215,1.27408,8.55301,0.83995,0.000599913,0.000599913,0.00460042
4,5334.86,1.89529,1.53859,1.15193,0.194,0.26754,0.10668,0.04096,1.36085,7.0009,0.88014,0.000799839,0.000799839,0.00280035
5,6612.47,1.88414,1.46155,1.13776,0.283,0.44158,0.21419,0.09255,1.17361,7.93573,0.79262,0.000999705,0.000999705,0.00100021
6,7892.12,1.8384,1.39569,1.13538,0.27815,0.41403,0.19815,0.08102,1.19872,7.29922,0.79329,0.000999618,0.000999618,0.000999618
7,9167.81,1.812,1.34942,1.11974,0.39695,0.45851,0.3524,0.13188,1.26841,6.68167,0.81764,0.00099945,0.00099945,0.00099945
8,10447.1,1.79877,1.30783,1.10839,0.33114,0.42015,0.23059,0.09056,1.25047,7.75373,0.81457,0.000999252,0.000999252,0.000999252
9,11725,1.77389,1.26676,1.10577,0.32754,0.38714,0.24989,0.09473,1.25487,7.56333,0.82004,0.000999023,0.000999023,0.000999023
10,13004,1.7652,1.24058,1.09581,0.32287,0.45287,0.24104,0.09823,1.18307,8.64574,0.78255,0.000998764,0.000998764,0.000998764
11,14280.9,1.73711,1.1778,1.09881,0.36395,0.45309,0.30464,0.11165,1.25645,8.25027,0.82429,0.000998474,0.000998474,0.000998474
12,15558.5,1.72869,1.14592,1.08464,0.413,0.50443,0.33939,0.13307,1.21304,8.55867,0.80272,0.000998154,0.000998154,0.000998154
13,16837.8,1.74087,1.14727,1.0905,0.41733,0.47223,0.33132,0.13324,1.21092,7.14166,0.79835,0.000997803,0.000997803,0.000997803
14,18119.4,1.72521,1.11443,1.08706,0.33303,0.40828,0.24642,0.10185,1.23258,8.47905,0.8219,0.000997422,0.000997422,0.000997422
15,19394.5,1.70239,1.07787,1.07615,0.37823,0.47123,0.30226,0.12362,1.23088,8.86987,0.80804,0.000997011,0.000997011,0.000997011
16,20674.3,1.70963,1.08738,1.08259,0.38513,0.51295,0.32441,0.13287,1.21465,8.74139,0.8005,0.000996569,0.000996569,0.000996569
17,21955,1.68148,1.06111,1.06665,0.43857,0.46717,0.3185,0.13072,1.21519,8.33481,0.81033,0.000996097,0.000996097,0.000996097
18,23231.9,1.67235,1.0418,1.07314,0.42721,0.4584,0.34243,0.13612,1.28702,8.07443,0.82137,0.000995594,0.000995594,0.000995594
19,24512.6,1.65514,1.0058,1.06697,0.45283,0.52733,0.37895,0.14811,1.21102,8.76999,0.79342,0.000995062,0.000995062,0.000995062
20,25791.4,1.64354,0.99143,1.06557,0.41383,0.47632,0.38748,0.14122,1.26194,8.27237,0.82365,0.000994499,0.000994499,0.000994499
21,27069.3,1.64511,0.98736,1.06384,0.40441,0.50022,0.32342,0.12165,1.24646,9.59734,0.81496,0.000993906,0.000993906,0.000993906
22,28342.4,1.62433,0.97676,1.0462,0.47669,0.52534,0.37338,0.14375,1.23623,8.08619,0.80678,0.000993282,0.000993282,0.000993282
23,29620.2,1.60912,0.95288,1.05361,0.44997,0.49395,0.33292,0.12794,1.26771,8.06682,0.82321,0.000992629,0.000992629,0.000992629
24,30895.7,1.5911,0.94757,1.0407,0.41369,0.50535,0.32638,0.12153,1.27282,9.44806,0.83186,0.000991946,0.000991946,0.000991946
25,32173.9,1.58218,0.91999,1.05057,0.44376,0.53452,0.3623,0.12941,1.32285,9.28737,0.85779,0.000991232,0.000991232,0.000991232
26,33456.4,1.58919,0.90946,1.04116,0.49075,0.53231,0.42357,0.14841,1.33222,9.65784,0.85301,0.000990489,0.000990489,0.000990489
